GISJOIN,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,ALAND_sq_mi,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area,NHPD_Units,Permits,Pop,Pop_density,Non_white_share,White_non_hisp,Black_non_hisp,Asian_non_Hisp,Hispanic,Workers,Transit_to_work,Walk_to_Work,Bike_to_work,Green_commute_share,BA_plus_25_plus,Med_HH_inc,Cost_burdened,Very_cost_burdened,Med_housing_value,Jobs,Job_density,Housing_units,Housing_density,Permit_density,Permits_per_capita,Subsidized_hsg_share
G53003180,53,3180,2409755,5303180,Auburn,Auburn city,25,C1,Y,N,G4110,A,76603160,29.57664543,751472,47.303773,-122.2100001,72201.5595,77354618.39,2109,8742,80914,2735.739596,0.479200138,0.520799862,0.070717058,0.115591863,0.165014707,39778,0.055734326,0.015058575,0.001860325,0.072653225,0.267764396,76410,0.472147154,0.24845262,356200,48826,1650.829541,30828,651.7027722,295.5710451,108.0406357,0.068411833
G53005210,53,5210,2409821,5305210,Bellevue,Bellevue city,25,C1,Y,N,G4110,A,86663751,33.46106133,10472194,47.597837,-122.1564797,61211.9962,92989429.84,2116,13501,146145,4367.614003,0.52341168,0.47658832,0.025707345,0.37427897,0.073591296,75115,0.108167477,0.051600879,0.006044066,0.165812421,0.690680469,129497,0.331525244,0.154572697,887700,157810,4716.228169,62486,1312.790747,403.4839143,92.38085463,0.033863585
G53007380,53,7380,2409882,5307380,Bothell,Bothell city,25,C1,N,N,G4110,A,35314926,13.63516916,0,47.7735312,-122.204376,33790.65981,35314925.89,306,5428,46386,3401.937993,0.354999353,0.645000647,0.013107403,0.171689734,0.114280171,23969,0.077850557,0.014518753,0.005048187,0.097417498,0.531777434,107651,0.453924346,0.233794368,587900,32420,2377.674939,18732,392.0999669,398.0882039,117.0180658,0.016335682
G53008850,53,8850,2409940,5308850,Burien,Burien city,25,C1,N,N,G4110,A,26000610,10.03889164,2981436,47.4756052,-122.3446615,34468.53636,26170544.33,1255,2040,51588,5138.814306,0.521439094,0.478560906,0.100100799,0.132046212,0.229103668,25711,0.09968496,0.011318113,0.003344872,0.114347944,0.278683567,71233,0.535450868,0.258029979,419500,15029,1497.077619,20301,427.6090829,203.2096841,39.54408002,0.061819615
G53017635,53,17635,2410327,5317635,Des Moines,Des Moines city,25,C1,N,N,G4110,A,16605956,6.411595456,2580245,47.3887085,-122.3175807,31642.55172,16605968.74,683,1792,31983,4988.305987,0.502516962,0.497483038,0.092267767,0.11834412,0.185192133,15084,0.062980642,0.007889154,0.001657385,0.072527181,0.289210137,70268,0.567806841,0.232394366,379300,5247,818.3610516,12950,273.2718491,279.4936162,56.02976581,0.052741313
G53018965,53,18965,2410373,5318965,DuPont,DuPont city,25,C1,N,N,G4110,A,15075921,5.82084564,79487,47.1073508,-122.6475757,20615.98778,15155408.45,0,2621,9514,1634.470417,0.365566534,0.634433466,0.082404877,0.073680891,0.136220307,4787,0.008564863,0,0,0.008564863,0.607014682,93405,0.34604599,0.107122827,343400,3259,559.8842851,4123,87.52349538,450.2782176,275.4887534,0
G53020645,53,20645,2410400,5320645,Edgewood,Edgewood city,25,C1,N,N,G4110,A,21716786,8.384897951,21131,47.2320735,-122.2857285,22751.97471,21737913.52,0,2007,12010,1432.33705,0.165945046,0.834054954,0.000666112,0.062114904,0.059616986,6221,0.008358785,0.005143868,0,0.013502652,0.313032466,103193,0.439548023,0.142372881,430600,1349,160.8844864,4522,95.74002717,239.3589059,167.110741,0
G53020750,53,20750,2410403,5320750,Edmonds,Edmonds city,25,C1,N,N,G4110,A,23093351,8.916392669,2823712,47.8136037,-122.3533299,38393.03819,23229395.36,225,2315,42347,4749.342203,0.251706142,0.748293858,0.015892507,0.092899143,0.07948615,21563,0.08407921,0.02360525,0.007049112,0.114733571,0.489292955,91499,0.456154796,0.193906958,587200,13769,1544.234368,18847,394.1765218,259.6341464,54.66739084,0.01193824
G53022640,53,22640,2410469,5322640,Everett,Everett city,25,C1,Y,N,G4110,A,85964420,33.19104812,38111441,47.95113,-122.193002,119506.7006,91039073.26,4364,8011,110840,3339.45465,0.380476362,0.619523638,0.055043306,0.094234933,0.164940455,56045,0.054081542,0.048193416,0.004639129,0.106914087,0.236951889,66023,0.526726261,0.25011402,359900,98156,2957.303416,45853,956.2444097,241.3602599,72.27535186,0.095173707
G53023515,53,23515,2410494,5323515,Federal Way,Federal Way city,25,C1,N,N,G4110,A,57744826,22.29540196,3640215,47.311596,-122.3377572,41597.74656,58261384.04,2545,3843,96812,4342.240618,0.56871049,0.43128951,0.152140231,0.13919762,0.1746581,47315,0.074859981,0.015407376,0.001289232,0.091556589,0.294011957,68672,0.55739175,0.253010505,359000,30325,1360.145919,36726,776.2578967,172.367379,39.69549229,0.069296956
