JURISDICTION_ID,STATION_ID,stationLink,name,status,modeOriginal,mode,lat,long,existing_housing_units,baseline_under_zoning,plexify_reform,multiply_reform,legalize_reform,middle_reform,all_reforms
G53018965,S1353974517,DuPont-DuPont Sounder Extension-Commuter Rail-planned,DuPont,planned,Commuter Rail,Commuter Rail,47.0895,-122.64058,156,276,276,396,293,653,790
G53038038,S160847662,Tillicum-DuPont Sounder Extension-Commuter Rail-planned,Tillicum,planned,Commuter Rail,Commuter Rail,47.11901,-122.55746,488,580,1244,633,580,627,1329
G53038038,S684341907,Lakewood-Sounder-Commuter Rail-existing,Lakewood,existing,Commuter Rail,Commuter Rail,47.15321,-122.4992,757,1706,2080,2270,1820,1893,2898
G53070000,S3483371652,South 96 Street-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,South 96 Street,planned,Bus Rapid Transit,Rapid Transit,47.17009,-122.43407,830,1993,3352,3159,1993,3932,6273
G53070000,S4188345991,South 84 Street-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,South 84 Street,planned,Bus Rapid Transit,Rapid Transit,47.18096,-122.43407,971,1179,3583,1334,1179,1295,3839
G53070000,S2581133508,South 78 Street-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,South 78 Street,planned,Bus Rapid Transit,Rapid Transit,47.18608,-122.43407,793,921,2599,1192,921,1112,2918
G53056695,S929285819,Puyallup-Sounder-Commuter Rail-existing,Puyallup,existing,Commuter Rail,Commuter Rail,47.19269,-122.29507,1438,5219,6464,6884,5238,5219,8148
G53070000,S1293746446,South 72 Street-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,South 72 Street,planned,Bus Rapid Transit,Rapid Transit,47.19185,-122.43404,830,983,3172,1195,983,1150,3400
G53068435,S3083032273,Sumner-Sounder-Commuter Rail-existing,Sumner,existing,Commuter Rail,Commuter Rail,47.20098,-122.24526,775,800,2061,842,800,1792,3053
G53070000,S4194266505,South 64 Street-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,South 64 Street,planned,Bus Rapid Transit,Rapid Transit,47.19915,-122.43397,1179,1222,4635,1232,1222,1244,4659
G53070000,S515297859,South Tacoma-Sounder-Commuter Rail-existing,South Tacoma,existing,Commuter Rail,Commuter Rail,47.20355,-122.48553,661,1060,2129,1131,1060,1257,2380
G53070000,S1781864840,South 56 Street-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,South 56 Street,planned,Bus Rapid Transit,Rapid Transit,47.20631,-122.4339,909,1041,3590,1178,1041,1058,3732
G53070000,S2499859406,South 50 Street-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,South 50 Street,planned,Bus Rapid Transit,Rapid Transit,47.21178,-122.43396,1004,1053,3884,1102,1053,1081,3950
G53070000,S877152940,South 43 Street-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,South 43 Street,planned,Bus Rapid Transit,Rapid Transit,47.2184,-122.43402,997,1018,3727,1043,1018,1032,3756
G53070000,S3451759040,South 38 Street-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,South 38 Street,planned,Bus Rapid Transit,Rapid Transit,47.22305,-122.43407,453,683,1074,752,683,890,1326
G53070000,S2108143948,South 34 Street-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,South 34 Street,planned,Bus Rapid Transit,Rapid Transit,47.23022,-122.43403,754,1244,1258,1562,1244,1638,1780
G53070000,S3425406580,Tacoma Dome-Orange Line (Tacoma Link)/Sounder-Light Rail-existing,Tacoma Dome,existing,Light Rail,Light Rail,47.23963,-122.42777,83,744,750,1394,744,797,1453
G53070000,S410100943,South 26 Street-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,South 26 Street,planned,Bus Rapid Transit,Rapid Transit,47.23802,-122.43513,131,1000,1000,1759,1000,1000,1759
G53070000,S2164713217,Portland Avenue-Tacoma Dome Link Extension-Light Rail-planned,Portland Avenue,planned,Light Rail,Light Rail,47.24294,-122.41145,98,284,302,284,284,473,491
G53070000,S3971006670,Pearl-TCC Tacoma Link Extension-Light Rail-planned,Pearl,planned,Light Rail,Light Rail,47.24282,-122.51559,819,842,1941,848,842,896,1995
G53070000,S22169543,Ainsworth-TCC Tacoma Link Extension-Light Rail-planned,Ainsworth,planned,Light Rail,Light Rail,47.24308,-122.45698,878,909,3235,914,909,948,3274
G53070000,S1659641582,St.  Joseph-Link T Line-Light Rail-uc,St.  Joseph,uc,Light Rail,Light Rail,47.24397,-122.44996,801,2280,3224,3627,2280,2608,4722
G53070000,S31151274,South 23 Street-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,South 23 Street,planned,Bus Rapid Transit,Rapid Transit,47.24064,-122.43914,627,1466,1481,2271,1466,1547,2367
G53070000,S697140835,Sprague-TCC Tacoma Link Extension-Light Rail-planned,Sprague,planned,Light Rail,Light Rail,47.24276,-122.46663,870,972,3170,972,972,1046,3244
G53023795,S3630470687,Fife-Tacoma Dome Link Extension-Light Rail-planned,Fife,planned,Light Rail,Light Rail,47.24456,-122.35181,61,455,532,455,455,745,822
G53023970,S1257292393,Tacoma Community College-TCC Tacoma Link Extension-Light Rail-planned,Tacoma Community College,planned,Light Rail,Light Rail,47.24273,-122.52215,99,406,501,651,406,411,749
G53070000,S3967888471,Union-TCC Tacoma Link Extension-Light Rail-planned,Union,planned,Light Rail,Light Rail,47.24284,-122.48275,572,775,2238,860,775,1003,2502
